!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9951397326852977, "ud.sym": 0.004860267314702308}
#	{"ud.sym": 1.0}
$	{"ud.sym": 1.0}
%	{"ud.sym": 1.0}
&	{"ud.sym": 1.0}
'	{"ud.punct": 0.9310344827586207, "ud.sym": 0.06896551724137931}
''	{"ud.punct": 1.0}
(	{"ud.punct": 1.0}
)	{"ud.punct": 1.0}
*	{"ud.punct": 0.4, "ud.sym": 0.6}
+	{"ud.sym": 0.9375, "ud.punct": 0.0625}
,	{"ud.punct": 1.0}
-	{"ud.punct": 1.0}
--	{"ud.punct": 1.0}
-ce	{"ud.pron": 1.0}
-ci	{"ud.part": 0.8333333333333334, "ud.adv": 0.16666666666666666}
-elle	{"ud.pron": 1.0}
-il	{"ud.pron": 1.0}
-ils	{"ud.pron": 1.0}
-je	{"ud.pron": 1.0}
-là	{"ud.adv": 1.0}
-nous	{"ud.pron": 1.0}
-on	{"ud.pron": 1.0}
-t	{"ud.part": 1.0}
-tu	{"ud.pron": 1.0}
-vous	{"ud.pron": 1.0}
.	{"ud.punct": 1.0}
..	{"ud.punct": 1.0}
...	{"ud.punct": 1.0}
....	{"ud.punct": 1.0}
/	{"ud.sym": 0.9907407407407407, "ud.x": 0.009259259259259259}
0	{"ud.num": 1.0}
0,9	{"ud.num": 1.0}
01	{"ud.num": 1.0}
04	{"ud.num": 1.0}
1	{"ud.num": 1.0}
1 000	{"ud.num": 1.0}
1 200	{"ud.num": 1.0}
1 500	{"ud.num": 1.0}
1,2	{"ud.num": 1.0}
1,5	{"ud.num": 1.0}
1,88	{"ud.num": 1.0}
1-0	{"ud.num": 1.0}
1-1	{"ud.num": 1.0}
1.000	{"ud.num": 1.0}
10	{"ud.num": 1.0}
10 000	{"ud.num": 1.0}
10,8	{"ud.num": 1.0}
100	{"ud.num": 1.0}
100 000	{"ud.num": 1.0}
100.000	{"ud.num": 1.0}
1000	{"ud.num": 1.0}
103	{"ud.num": 1.0}
104	{"ud.num": 1.0}
10e	{"ud.adj": 1.0}
11	{"ud.num": 1.0}
11,1	{"ud.num": 1.0}
110	{"ud.num": 1.0}
113	{"ud.num": 1.0}
114	{"ud.num": 1.0}
115	{"ud.num": 1.0}
118	{"ud.num": 1.0}
11e	{"ud.adj": 1.0}
12	{"ud.num": 1.0}
120	{"ud.num": 1.0}
1236	{"ud.num": 1.0}
125	{"ud.num": 1.0}
128	{"ud.num": 1.0}
12e	{"ud.adj": 1.0}
